#p,i,time[min],Nuc[0]*10^6,Nuc_distance[per],PVecCen[0][0]*10^6,PVecCen[0][2]*10^6,PVecCen[1][0]*10^6,PVecCen[1][2]*10^6,angle[rad],angel[degree]
0,12000,10.000000,13.291882,23.416237,13.063026,4.933461,13.520737,-5.056058,0.045787,2.623408
1,12000,10.000000,13.092383,23.815233,13.134634,4.835763,13.050133,-5.162942,0.008451,0.484210
2,12000,10.000000,13.048429,23.903142,12.835784,5.025825,13.261074,-4.965060,0.042542,2.437485
3,12000,10.000000,12.641967,24.716065,11.859333,4.973472,13.424601,-4.902022,0.157193,9.006470
4,12000,10.000000,13.279656,23.440688,12.744949,4.925583,13.814363,-5.014166,0.107177,6.140813
5,12000,10.000000,13.105189,23.789622,12.845865,4.940529,13.364512,-5.044969,0.051893,2.973272
6,12000,10.000000,13.230569,23.538861,13.087937,4.996889,13.373202,-4.995907,0.028539,1.635182
7,12000,10.000000,13.279744,23.440512,13.453968,4.577327,13.105519,-5.405814,0.034890,1.999027
8,12000,10.000000,12.623833,24.752334,12.482049,5.057508,12.765616,-4.934551,0.028372,1.625575
9,12000,10.000000,12.913873,24.172254,12.571884,5.153260,13.255862,-4.821846,0.068461,3.922548
10,12000,10.000000,12.777843,24.444314,12.857135,5.046597,12.698550,-4.950405,0.015862,0.908822
11,12000,10.000000,13.457122,23.085756,13.973825,5.076756,12.940419,-4.864216,0.103582,5.934816
12,12000,10.000000,13.524413,22.951173,13.360757,5.176531,13.688069,-4.811282,0.032759,1.876975
13,12000,10.000000,13.314643,23.370715,13.538719,4.792346,13.090566,-5.196741,0.044834,2.568815
14,12000,10.000000,13.136290,23.727419,12.705917,5.257990,13.566664,-4.694542,0.086271,4.942937
15,12000,10.000000,12.949170,24.101660,13.839932,4.816569,12.058408,-5.023057,0.179116,10.262571
16,12000,10.000000,13.052824,23.894352,13.219011,5.258834,12.886637,-4.735149,0.033245,1.904809
17,12000,10.000000,13.584564,22.830872,13.804430,4.810941,13.364697,-5.177556,0.043996,2.520758
18,12000,10.000000,13.186717,23.626566,12.867562,4.650862,13.505872,-5.328699,0.063875,3.659750
19,12000,10.000000,12.747487,24.505025,12.506063,4.820509,12.988912,-5.164298,0.048321,2.768572
20,12000,10.000000,12.787659,24.424681,12.318076,5.192084,13.257242,-4.762335,0.094068,5.389709
21,12000,10.000000,12.942722,24.114557,13.345791,5.101468,12.539652,-4.861101,0.080741,4.626116
22,12000,10.000000,12.369524,25.260953,12.173844,4.888933,12.565203,-5.102619,0.039149,2.243075
23,12000,10.000000,12.903956,24.192088,12.764777,5.223435,13.043135,-4.771822,0.027842,1.595216
24,12000,10.000000,13.137384,23.725232,13.264242,5.005746,13.010527,-4.990667,0.025375,1.453890
25,12000,10.000000,12.855929,24.288142,12.595520,5.122904,13.116338,-4.862039,0.052113,2.985857
26,12000,10.000000,12.601888,24.796225,12.993340,5.126511,12.210436,-4.842176,0.078375,4.490585
27,12000,10.000000,13.346116,23.307768,12.963902,5.147514,13.728330,-4.821725,0.076529,4.384782
28,12000,10.000000,12.603967,24.792066,12.167578,4.844410,13.040356,-5.117422,0.087389,5.007025
29,12000,10.000000,13.021549,23.956902,12.165297,4.944028,13.877802,-4.908119,0.172101,9.860659
30,12000,10.000000,12.934607,24.130785,12.076497,4.901461,13.792717,-4.950161,0.172476,9.882147
31,12000,10.000000,13.274444,23.451112,13.580904,5.150824,12.967984,-4.825615,0.061360,3.515648
32,12000,10.000000,13.026389,23.947222,14.124402,4.909629,11.928376,-4.833902,0.221679,12.701270
33,12000,10.000000,13.158221,23.683558,12.885843,5.342738,13.430599,-4.640212,0.054515,3.123454
34,12000,10.000000,12.926147,24.147706,12.986056,4.877634,12.866238,-5.121491,0.011982,0.686535
35,12000,10.000000,12.851350,24.297301,13.161115,4.980467,12.541584,-4.999071,0.062001,3.552368
36,12000,10.000000,13.469182,23.061635,13.617960,4.806878,13.320405,-5.187374,0.029764,1.705341
37,12000,10.000000,12.595750,24.808500,13.040208,5.316507,12.151292,-4.643861,0.089009,5.099865
38,12000,10.000000,13.051409,23.897181,13.474750,5.112816,12.628069,-4.851110,0.084771,4.857024
39,12000,10.000000,12.974021,24.051959,13.149783,4.896314,12.798258,-5.096749,0.035162,2.014658
40,12000,10.000000,12.549537,24.900926,12.802819,5.031527,12.296255,-4.955622,0.050678,2.903641
41,12000,10.000000,13.153504,23.692992,12.793653,4.718678,13.513355,-5.255373,0.072033,4.127167
42,12000,10.000000,13.237940,23.524120,13.494633,4.960264,12.981248,-5.026257,0.051363,2.942858
43,12000,10.000000,12.845802,24.308396,12.946810,5.047534,12.744795,-4.950067,0.020204,1.157580
44,12000,10.000000,12.592787,24.814426,13.077158,5.080985,12.108416,-4.859286,0.097149,5.566253
45,12000,10.000000,13.048855,23.902289,12.720243,5.297552,13.377468,-4.671221,0.065833,3.771959
46,12000,10.000000,12.416398,25.167204,13.244566,4.960455,11.588230,-4.900987,0.166408,9.534449
47,12000,10.000000,12.722743,24.554514,13.106452,4.884632,12.339035,-5.085100,0.076823,4.401646
48,12000,10.000000,13.517788,22.964424,13.596197,5.213938,13.439379,-4.781214,0.015688,0.898864
49,12000,10.000000,13.165127,23.669746,13.067724,4.996706,13.262530,-4.999388,0.019486,1.116452
