#aspect_ratio,Rad,RadS,MetaSpindle_L,spindle_length,time[sec],spindle_length/(Rad*2)
1.0,19.488,19.488,11.310,22.417,222.600000,0.575
1.1,20.766,18.878,11.513,23.067,223.250000,0.555
1.2,22.006,18.339,11.710,23.641,223.800000,0.537
1.3,23.212,17.856,11.903,24.154,224.250000,0.520
1.4,24.388,17.420,12.090,24.614,224.600000,0.505
1.5,25.536,17.024,12.272,25.030,224.900000,0.490
1.6,26.659,16.662,12.451,25.409,225.150000,0.477
1.7,27.758,16.328,12.626,25.756,225.400000,0.464
1.8,28.836,16.020,12.798,26.075,225.550000,0.452
1.9,29.895,15.734,12.966,26.370,225.700000,0.441
1.5,25.536,17.024,12.272,25.030,224.900000,0.490
1.6,26.659,16.662,12.451,25.409,225.150000,0.477
1.7,27.758,16.328,12.626,25.756,225.400000,0.464
1.8,28.836,16.020,12.798,26.075,225.550000,0.452
1.9,29.895,15.734,12.966,26.370,225.700000,0.441
2.5,35.896,14.359,13.922,27.777,226.250000,0.387
2.6,36.847,14.172,14.073,27.968,226.300000,0.380
2.7,37.786,13.995,14.223,28.150,226.350000,0.372
2.8,38.714,13.826,14.370,28.323,226.400000,0.366
2.9,39.630,13.665,14.516,28.489,226.400000,0.359
3.0,40.536,13.512,14.660,28.649,226.450000,0.353
